chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	3345555	3781959	-0.064747	-0.129648	-0.070723	-0.041975
Chr01	3756936	3782713	0.091632	0.163070	0.117476	0.035341
Chr01	3781974	3797154	0.123691	0.251935	0.182093	0.069697
Chr01	3782732	3850591	-0.108666	-0.208820	-0.123467	-0.044053
Chr01	3797158	3941883	-0.243762	-0.520757	-0.224662	-0.097660
Chr01	3868240	3987914	-0.193102	-0.337768	-0.162108	-0.080973
Chr01	3941915	4014164	-0.207657	-0.298192	-0.206237	-0.167369
Chr01	3988283	4068758	-0.181867	-0.219040	-0.162788	-0.088108
Chr01	4014165	4195944	0.006802	0.003105	0.002549	0.006712
Chr01	4068881	4412655	0.014056	0.007799	0.006192	0.004725
Chr01	4195945	4436461	0.041784	0.032639	0.025806	0.003212
Chr01	4412657	4486547	0.251960	0.226087	0.198389	0.109827
Chr01	4436479	4636443	0.240091	0.273897	0.219869	0.132014
Chr01	4486589	4663178	0.137047	0.086393	0.069308	0.038286
Chr01	4637683	4705781	0.180873	0.053085	0.047188	0.028499
Chr01	4663179	4758901	0.057034	0.026438	0.022327	0.018169
Chr01	4707885	4909189	-0.032704	-0.029016	-0.021030	-0.010875
Chr01	4847058	5000733	-0.112074	-0.211502	-0.113778	-0.057287
Chr01	4909209	5026422	-0.223243	-0.238929	-0.159970	-0.114714
Chr01	5000737	5033630	0.075573	0.039008	0.032713	0.039355
Chr01	5027621	5083862	0.114865	0.059392	0.047049	0.055195
Chr01	5033931	5235681	-0.114857	-0.103839	-0.068627	-0.053681
Chr01	5090936	5594171	-0.150016	-0.080233	-0.063608	-0.083879
Chr01	5238630	5604236	-0.038679	-0.014840	-0.013378	-0.006127
Chr01	5594178	5673554	0.006394	0.002610	0.002284	0.023223
Chr01	5605135	5674779	-0.002624	-0.001979	-0.001576	0.012655
Chr01	5673910	5678840	0.153659	0.269602	0.246119	0.055371
Chr01	5674826	5681331	0.206037	0.337856	0.316495	0.048632
Chr01	5678848	5916214	0.203417	0.176477	0.158607	0.044217
Chr01	5681337	5959084	-0.001492	-0.001001	-0.000857	-0.000266
Chr01	5916293	5983764	-0.165950	-0.170534	-0.126197	-0.075542
Chr01	5959112	5984194	-0.230938	-0.252328	-0.192179	-0.180978
Chr01	5983771	5993913	-0.154276	-0.158216	-0.131343	-0.140725
Chr01	5984197	6211598	-0.027130	-0.031364	-0.025160	-0.012087
Chr01	5993914	6338391	0.012279	0.024682	0.015594	0.010033
Chr01	6211605	6400567	-0.110961	-0.212645	-0.133029	-0.052077
Chr01	6338408	6511631	-0.069111	-0.070491	-0.047641	-0.029171
Chr01	6400568	6569395	0.107780	0.092791	0.060615	0.028754
Chr01	6511643	6597129	0.117813	0.064255	0.045051	0.017189
Chr01	6569429	6611269	-0.291672	-0.166750	-0.094492	-0.082652
Chr01	6597185	6649371	-0.358135	-0.423630	-0.155823	-0.122848
Chr01	6612333	6803392	0.079690	0.042312	0.029282	0.012721
Chr01	6649385	6944726	-0.032988	-0.016298	-0.012639	-0.016982
Chr01	6808811	7181974	-0.025586	-0.013939	-0.008949	-0.012404
Chr01	6998078	7195551	-0.015305	-0.010415	-0.005605	-0.023393
Chr01	7181976	7445166	-0.103493	-0.107084	-0.057130	-0.056191
Chr01	7195552	7590431	0.051899	0.037026	0.024885	0.023110
Chr01	7468515	7705101	-0.066912	-0.035375	-0.025423	-0.048623
Chr01	7590434	7723990	-0.068744	-0.032520	-0.025036	-0.034051
Chr01	7705155	7724447	0.037408	0.016880	0.013077	0.007763
Chr01	7724001	7725272	-0.161414	-0.056214	-0.039869	-0.025469
Chr01	7724494	7726005	0.088273	0.035711	0.028192	0.018804
Chr01	7725334	7726422	0.121943	0.054176	0.045697	0.023648
Chr01	7726020	7782823	-0.280241	-0.158210	-0.114851	-0.056378
Chr01	7726426	7945071	-0.268064	-0.209092	-0.122148	-0.100586
Chr01	7782844	7963810	-0.116237	-0.079516	-0.051542	-0.056135
Chr01	7945120	7995056	-0.022060	-0.021527	-0.012906	-0.015465
Chr01	7963815	7995426	0.106586	0.238200	0.088161	0.052872
Chr01	7995062	7995823	0.116272	0.215072	0.091369	0.061834
Chr01	7995439	8004777	-0.017855	-0.040988	-0.011264	-0.010808
Chr01	7995827	8005398	-0.012031	-0.033941	-0.006360	-0.006094
Chr01	8004786	8020207	-0.043351	-0.090584	-0.025549	-0.018639
Chr01	8005399	8061000	-0.044538	-0.029587	-0.018530	-0.019119
Chr01	8020257	8204059	0.000898	0.000223	0.000186	-0.000724
Chr01	8065716	8247495	-0.240585	-0.070482	-0.053024	-0.106061
Chr01	8207341	8284562	-0.216827	-0.085643	-0.059872	-0.128307
Chr01	8250283	8296662	-0.271027	-0.125116	-0.084764	-0.147309
Chr01	8284592	8317064	-0.126448	-0.068900	-0.049432	-0.070827
Chr01	8296695	8319457	0.024989	0.013832	0.010774	0.020735
Chr01	8317065	8327366	-0.229948	-0.148451	-0.105008	-0.108276
Chr01	8319481	8331160	-0.452016	-0.397354	-0.238790	-0.177486
Chr01	8327385	8346025	-0.491096	-0.722082	-0.369300	-0.262793
Chr01	8331179	8366607	0.084299	0.086611	0.056455	0.055495
Chr01	8346049	8440554	0.246150	0.176527	0.126859	0.131752
Chr01	8374620	8528093	0.244718	0.138545	0.114112	0.080758
Chr01	8440564	8659329	0.187900	0.124851	0.113060	0.104222
Chr01	8528115	8698736	0.159053	0.084912	0.075023	0.090687
Chr01	8659361	8743079	0.046883	0.017708	0.014744	0.014893
Chr01	8698939	8782128	-0.066337	-0.032161	-0.022730	-0.020056
Chr01	8743088	8800598	-0.094829	-0.044931	-0.032617	-0.037587
Chr01	8782132	8807584	0.011749	0.007295	0.006621	-0.005733
Chr01	8802109	8905472	0.051576	0.040191	0.034480	0.019709
Chr01	8822670	8989393	0.063699	0.036722	0.031008	0.021238
Chr01	8916824	9101554	0.153753	0.061787	0.054092	0.053436
Chr01	8997038	9115714	0.120643	0.043360	0.038430	0.044808
Chr01	9101775	9174516	0.114008	0.052826	0.048071	0.070636
Chr01	9135777	9182809	0.121062	0.086453	0.078145	0.100518
Chr01	9174837	9203105	0.112307	0.184990	0.160769	0.080223
Chr01	9182845	9242420	0.053699	0.075025	0.053745	0.044770
Chr01	9204895	9387962	-0.012861	-0.010202	-0.008265	0.002661
Chr01	9244619	9606817	-0.008868	-0.006243	-0.005251	0.004313
Chr01	9481691	9791114	-0.112201	-0.073143	-0.056193	-0.032851
Chr01	9606820	9822471	-0.260613	-0.083139	-0.069483	-0.055261
Chr01	9808601	9846964	-0.297918	-0.052994	-0.046428	-0.049375
Chr01	9822538	9866356	-0.526658	-0.096512	-0.081469	-0.085364
Chr01	9848238	9964638	-0.333111	-0.142162	-0.110672	-0.061900
Chr01	9866360	10051213	-0.153637	-0.103729	-0.079987	-0.046414
Chr01	9964984	10078338	-0.022161	-0.019877	-0.015453	-0.005093
Chr01	10051253	10312784	-0.076190	-0.095598	-0.068990	-0.042877
Chr01	10078342	10687630	-0.121933	-0.245690	-0.141700	-0.068251
Chr01	10313186	10691438	-0.152257	-0.251012	-0.148739	-0.065551
Chr01	10687632	10702765	-0.188177	-0.133854	-0.099890	-0.076583
Chr01	10696708	10741123	-0.059147	-0.045447	-0.034192	-0.024307
Chr01	10702852	10980862	0.045593	0.030383	0.024284	0.015506
Chr01	10751521	11105133	-0.021857	-0.013885	-0.010209	-0.007297
Chr01	10997754	11161474	-0.141526	-0.090008	-0.058872	-0.051594
Chr01	11126456	11204841	-0.050983	-0.030202	-0.020541	-0.022184
Chr01	11161700	11216235	-0.255479	-0.470890	-0.230244	-0.138712
Chr01	11204843	11322269	-0.330003	-0.434564	-0.265082	-0.179065
Chr01	11216240	11483563	-0.190882	-0.093178	-0.078256	-0.075610
Chr01	11334283	11498913	-0.068189	-0.034906	-0.031486	-0.029588
Chr01	11484412	11599083	-0.004842	-0.004933	-0.003856	-0.001534
Chr01	11506689	11675762	-0.032303	-0.035941	-0.025148	-0.011761
Chr01	11599085	11899210	-0.011455	-0.007391	-0.005911	-0.002565
Chr01	11675766	12042290	0.013032	0.004744	0.003806	0.003275
Chr01	11901258	12179612	-0.074683	-0.019418	-0.015925	-0.028630
Chr01	12042291	12299892	0.018929	0.005397	0.004753	0.007640
Chr01	12179622	12302218	0.101076	0.035537	0.032761	0.032890
Chr01	12299906	12302757	0.056856	0.025230	0.023084	0.025417
Chr01	12302219	12303058	0.063989	0.076220	0.061654	0.019405
Chr01	12302790	12309109	0.018937	0.040958	0.029129	0.005438
Chr01	12303065	12341912	-0.007997	-0.010735	-0.008739	-0.003795
Chr01	12309111	12369125	0.059309	0.060136	0.052249	0.040458
Chr01	12341913	12437495	0.127545	0.090520	0.080765	0.075285
Chr01	12371034	12480648	0.051538	0.023604	0.019718	0.024059
Chr01	12437566	12542874	-0.003461	-0.001430	-0.001197	-0.002404
Chr01	12480657	12587706	-0.061619	-0.031989	-0.026407	-0.022121
Chr01	12542902	12611673	0.060849	0.036563	0.030832	0.028535
Chr01	12587716	12788914	0.112968	0.063485	0.057023	0.074297
Chr01	12746667	12794141	0.043220	0.019931	0.018061	0.029676
Chr01	12788949	12804380	-0.024449	-0.008772	-0.007920	0.001060
Chr01	12794147	13004686	-0.154657	-0.065946	-0.051849	-0.051458
Chr01	12804394	13066138	-0.173790	-0.103323	-0.072386	-0.035660
Chr01	13004695	13073324	0.031010	0.016072	0.013238	0.016161
Chr01	13066139	13096916	0.243314	0.172165	0.147867	0.082487
Chr01	13073538	13152289	0.369651	0.343922	0.300104	0.130800
Chr01	13098023	13190123	0.392282	0.162801	0.142868	0.127710
Chr01	13152293	13214632	-0.031593	-0.009093	-0.008165	-0.016712
Chr01	13190126	13220408	-0.188873	-0.051317	-0.045905	-0.056302
Chr01	13214633	13260397	-0.150455	-0.055320	-0.045873	-0.077978
Chr01	13220417	13265841	-0.026498	-0.015807	-0.012123	-0.032262
Chr01	13260415	13268897	0.007546	0.004636	0.003559	0.033963
Chr01	13266079	13272504	-0.224005	-0.151994	-0.107768	-0.150122
Chr01	13268899	13296295	-0.303336	-0.218068	-0.144925	-0.211344
Chr01	13275124	13335292	0.111764	0.069930	0.054878	0.074845
Chr01	13296530	13336937	0.341934	0.189826	0.168176	0.260695
Chr01	13335348	13378734	0.242713	0.119283	0.106210	0.162484
Chr01	13337011	13428247	0.113699	0.052302	0.045386	0.063466
Chr01	13380038	13532677	0.027586	0.012284	0.010605	0.019555
Chr01	13428295	13533544	0.033598	0.017398	0.015240	0.021187
Chr01	13533094	13550823	0.142070	0.100266	0.086283	0.063468
Chr01	13533551	13559579	0.100538	0.111356	0.074585	0.029526
Chr01	13550842	13574397	0.025506	0.032813	0.023324	0.007137
Chr01	13559581	13606261	0.027001	0.029193	0.025800	0.012886
Chr01	13574400	13613324	-0.017174	-0.020439	-0.014881	-0.004302
Chr01	13607413	13624699	-0.064386	-0.066517	-0.042137	-0.013185
Chr01	13613352	13627348	-0.010663	-0.010943	-0.007601	0.000472
Chr01	13624705	13630740	0.002218	0.002709	0.001842	0.003127
Chr01	13627354	13709312	0.097567	0.077897	0.054464	0.018390
Chr01	13631474	14055354	0.148573	0.030656	0.027263	0.053716
Chr01	13718426	14097227	0.086559	0.012884	0.012168	0.053598
Chr01	14058513	14154173	0.075958	0.017039	0.016162	0.039362
Chr01	14100821	14205599	0.013150	0.008052	0.007101	0.010853
Chr01	14154175	14261507	-0.020863	-0.017996	-0.015252	-0.012249
Chr01	14206665	14384997	-0.010149	-0.007140	-0.006198	-0.009114
Chr01	14261516	14471320	-0.017770	-0.011489	-0.009145	-0.011897
Chr01	14385166	14481258	-0.069057	-0.039846	-0.025514	-0.024627
Chr01	14471325	14699707	-0.097608	-0.036226	-0.025757	-0.032962
Chr01	14487179	14745008	0.021895	0.011762	0.009478	0.010003
Chr01	14699708	14752400	0.065369	0.096251	0.070699	0.017884
Chr01	14745025	14755877	-0.013927	-0.014517	-0.010044	-0.009195
Chr01	14752403	14797223	-0.026688	-0.013642	-0.011177	-0.012231
Chr01	14755942	14829781	0.040618	0.015303	0.013358	0.000541
Chr01	14800785	14868097	0.132346	0.033495	0.027502	0.008089
Chr01	14838157	14919067	0.089776	0.019406	0.014779	0.016381
Chr01	14868196	14986692	0.227189	0.058825	0.040633	0.090782
Chr01	14919082	15044762	0.074558	0.043558	0.030732	0.045779
Chr01	14989181	15093841	-0.018648	-0.013336	-0.010763	-0.006172
Chr01	15044767	15111132	-0.107832	-0.060786	-0.049133	-0.046518
Chr01	15093969	15248212	-0.131518	-0.119769	-0.085083	-0.062385
Chr01	15111137	15325417	0.007448	0.009135	0.006162	0.001586
Chr01	15248224	15390012	-0.046326	-0.048148	-0.034733	-0.025014
Chr01	15325418	15557962	-0.209394	-0.167000	-0.114837	-0.071572
Chr01	15390017	15566647	-0.170499	-0.084295	-0.065090	-0.050146
Chr01	15559087	15626975	-0.033053	-0.011919	-0.010612	-0.007631
Chr01	15566840	15711015	0.066187	0.030062	0.025979	0.022851
Chr01	15627085	15720783	0.030995	0.014408	0.012160	0.013866
Chr01	15711022	15777177	-0.122648	-0.053280	-0.045705	-0.030440
Chr01	15720786	15829801	0.032810	0.030130	0.024087	0.012543
Chr01	15777228	15841919	0.092387	0.095989	0.077072	0.037889
Chr01	15830079	15873563	0.003268	0.003908	0.003087	0.001633
Chr01	15841982	15875988	0.005624	0.015455	0.010664	0.005025
Chr01	15873570	15891857	-0.027074	-0.067455	-0.045950	-0.012955
Chr01	15875993	15939129	-0.122027	-0.109233	-0.085529	-0.075652
Chr01	15901071	16085464	-0.061180	-0.039005	-0.032873	-0.024111
Chr01	15939137	16284362	-0.205047	-0.094480	-0.075130	-0.071460
Chr01	16097776	16338276	-0.225343	-0.068394	-0.056310	-0.071742
Chr01	16284399	16409367	0.012828	0.002697	0.002428	0.002492
Chr01	16338278	16511926	0.153869	0.039814	0.032274	0.067884
Chr01	16409370	16519745	0.116136	0.037963	0.026094	0.037994
Chr01	16512056	16572563	-0.134133	-0.046454	-0.031702	-0.050018
Chr01	16520217	16658116	0.073303	0.044461	0.035503	0.033942
Chr01	16590115	16770878	-0.059221	-0.042632	-0.028674	-0.029516
Chr01	16673485	16910877	-0.159438	-0.054997	-0.033602	-0.073095
Chr01	16770909	17033850	-0.142012	-0.030266	-0.022657	-0.055958
Chr01	16914146	17184746	-0.265011	-0.042104	-0.036727	-0.101303
Chr01	17033907	17331662	-0.153008	-0.013597	-0.012666	-0.047416
Chr01	17184747	17366979	-0.183208	-0.015865	-0.014726	-0.073988
Chr01	17331665	17413966	-0.204845	-0.026557	-0.023869	-0.056161
Chr01	17367342	17554817	-0.152507	-0.025831	-0.022394	-0.025735
Chr01	17413992	17629059	-0.207140	-0.038276	-0.033533	-0.045428
Chr01	17555381	17654911	-0.117908	-0.030810	-0.025999	-0.043908
Chr01	17629063	17721707	-0.056170	-0.013396	-0.010870	-0.025662
Chr01	17655056	17732869	0.099027	0.017704	0.015703	0.016985
Chr01	17721752	17769335	0.221529	0.040456	0.035556	0.028621
Chr01	17732873	17813376	0.130027	0.019794	0.017179	0.017928
Chr01	17769346	17893434	0.074885	0.014470	0.012114	0.014940
Chr01	17813460	17940242	0.173013	0.031421	0.027283	0.049543
Chr01	17893458	18078332	0.328420	0.061525	0.056705	0.108042
Chr01	17940243	18095849	0.224423	0.051620	0.046035	0.040585
Chr01	18090842	18138806	0.218032	0.029996	0.028426	0.034297
Chr01	18096827	18159197	0.163244	0.022115	0.021230	0.063173
Chr01	18138812	18198863	-0.167616	-0.031384	-0.028413	-0.079178
Chr01	18159262	18273793	-0.127382	-0.023733	-0.020977	-0.044503
Chr01	18198938	18290973	0.162007	0.020638	0.018869	0.039906
Chr01	18273862	18305244	-0.003531	-0.000436	-0.000381	-0.003445
Chr01	18291010	18445691	-0.246585	-0.039881	-0.034730	-0.085969
Chr01	18305292	18495911	-0.150712	-0.042775	-0.037137	-0.107945
Chr01	18445697	18598295	0.091159	0.041472	0.033980	0.043688
Chr01	18495912	18602911	0.022158	0.011231	0.008943	0.014576
Chr01	18598307	18616126	-0.218317	-0.191158	-0.143876	-0.135546
Chr01	18602928	18625023	-0.183904	-0.282718	-0.173398	-0.085748
Chr01	18616937	18679989	-0.139651	-0.104594	-0.067309	-0.042835
Chr01	18634300	18757526	-0.024555	-0.010812	-0.008062	-0.006086
Chr01	18692895	18823257	0.013661	0.010710	0.007558	-0.000092
Chr01	18757539	18832788	0.134821	0.165460	0.120184	0.044919
Chr01	18823261	18839106	0.111386	0.190313	0.113246	0.044490
Chr01	18832792	18850910	-0.126082	-0.330937	-0.116072	-0.046157
Chr01	18839107	18911684	-0.140004	-0.136406	-0.076340	-0.021660
Chr01	18850911	18942036	-0.076112	-0.051828	-0.037904	-0.000877
Chr01	18911689	19169469	-0.008430	-0.004360	-0.003585	0.003459
Chr01	18942038	19210388	-0.045571	-0.028461	-0.019903	-0.014799
Chr01	19169472	19308274	-0.109925	-0.090537	-0.060201	-0.045818
Chr01	19210390	19376948	-0.025235	-0.017077	-0.013511	0.004907
Chr01	19308276	19408426	0.068237	0.065290	0.045352	0.026609
Chr01	19377023	19503706	0.022211	0.014367	0.010583	0.007148
Chr01	19408427	19700485	-0.190959	-0.062655	-0.052434	-0.059496
Chr01	19503746	19770242	-0.213469	-0.075698	-0.064329	-0.105327
Chr01	19757773	19777277	-0.173385	-0.090207	-0.074068	-0.073738
Chr01	19771413	19802636	-0.054489	-0.025194	-0.021764	-0.015290
Chr01	19777290	19829522	-0.029719	-0.016307	-0.014600	-0.015047
Chr01	19802647	19839380	-0.160793	-0.129070	-0.107330	-0.111400
Chr01	19830658	19849050	-0.233840	-0.170763	-0.136215	-0.145340
Chr01	19839410	19862031	-0.217934	-0.160499	-0.129317	-0.160643
Chr01	19849172	19876132	-0.159315	-0.120731	-0.102027	-0.127145
Chr01	19862421	19920912	-0.070683	-0.056403	-0.046401	-0.053243
Chr01	19876591	19966533	0.027860	0.017267	0.013928	0.014884
Chr01	19921559	20029024	0.109597	0.058426	0.048645	0.092911
Chr01	19999716	20126601	-0.009349	-0.004255	-0.003573	0.005317
Chr01	20029029	20129974	-0.114386	-0.061478	-0.051006	-0.039780
Chr01	20126605	20204633	-0.153446	-0.136759	-0.102381	-0.063725
Chr01	20130470	20261771	-0.156168	-0.085102	-0.063402	-0.054526
Chr01	20211422	20324152	0.281021	0.107348	0.081619	0.094603
Chr01	20261773	20347090	0.320222	0.176163	0.130959	0.123132
Chr01	20324154	20359141	0.280906	0.365071	0.268254	0.149573
Chr01	20347091	20411876	0.235978	0.291917	0.214663	0.153553
Chr01	20366992	20471846	0.158540	0.177277	0.115371	0.091708
Chr01	20411877	20492941	0.160711	0.175849	0.120078	0.070114
Chr01	20474609	20511293	0.095500	0.087349	0.066194	0.035147
Chr01	20492966	20525103	0.025214	0.029113	0.019562	0.008721
Chr01	20514191	20598863	0.047411	0.041607	0.032193	0.016796
Chr01	20525129	20688650	0.036356	0.023362	0.018749	0.015531
Chr01	20615485	20733601	0.010163	0.006801	0.005250	0.010955
Chr01	20698783	20817607	0.058168	0.048099	0.037911	0.030014
Chr01	20733892	20838166	0.056340	0.070430	0.054240	0.019204
Chr01	20826277	20951597	0.124242	0.181621	0.124858	0.064481
Chr01	20838200	20957181	0.363824	0.514198	0.398966	0.178130
Chr01	20951628	21007992	0.424360	0.457379	0.416290	0.217598
Chr01	20957461	21098419	0.231732	0.202591	0.155153	0.097985
Chr01	21007996	21241167	-0.114243	-0.105128	-0.072019	-0.038594
Chr01	21183125	21306265	-0.051193	-0.046050	-0.036475	-0.022384
Chr01	21243208	21309903	0.058927	0.049005	0.041845	0.028855
Chr01	21306391	21313840	0.116829	0.097493	0.082087	0.057397
Chr01	21310648	21317487	0.091248	0.082592	0.063361	0.035640
Chr01	21314042	21330473	0.058607	0.051478	0.038204	0.011152
Chr01	21317490	21338858	0.014749	0.011027	0.008667	-0.006640
Chr01	21330505	21344602	0.001848	0.001318	0.001107	-0.001272
Chr01	21338862	21361995	-0.006618	-0.005264	-0.004210	-0.001716
Chr01	21345959	21379415	-0.116297	-0.097848	-0.070808	-0.041487
Chr01	21362009	21432488	-0.098122	-0.091252	-0.056160	-0.029062
Chr01	21379419	21536577	-0.020987	-0.018539	-0.010868	-0.006087
Chr01	21432716	21547337	-0.044718	-0.034670	-0.023863	-0.031165
Chr01	21537220	21559704	-0.063282	-0.062977	-0.041289	-0.042457
Chr01	21548385	21573101	-0.030174	-0.037204	-0.023485	-0.003559
Chr01	21559721	21576715	0.080142	0.093003	0.057432	0.034598
Chr01	21573109	21582697	0.100823	0.092509	0.063064	0.029275
Chr01	21576829	21586200	0.060694	0.057692	0.039876	0.013642
Chr01	21582731	21603009	0.053444	0.063254	0.032491	0.011963
Chr01	21586203	21609087	-0.038543	-0.037232	-0.021923	-0.023018
Chr01	21603011	21618595	-0.139696	-0.123896	-0.088255	-0.099790
Chr01	21611529	21714740	0.163892	0.121724	0.096390	0.095734
Chr01	21618699	21857593	0.237676	0.179214	0.151027	0.160450
Chr01	21714778	22156130	0.112611	0.080965	0.072646	0.067819
Chr01	21857599	22224048	0.047133	0.040139	0.035198	0.026667
Chr01	22168773	22275335	0.076149	0.067088	0.055305	0.028235
Chr01	22226409	22282295	0.220687	0.096069	0.072820	0.076703
Chr01	22275422	22285851	-0.014901	-0.007794	-0.005429	-0.020655
Chr01	22282302	22289186	-0.158088	-0.094650	-0.058137	-0.078139
Chr01	22285855	22301771	0.159162	0.063734	0.037106	0.023844
Chr01	22296099	22372968	0.346991	0.216480	0.086478	0.086727
Chr01	22301855	22492306	0.269396	0.212156	0.111162	0.116762
Chr01	22372969	22590218	0.197424	0.163831	0.135326	0.109792
Chr01	22492357	22647324	-0.051533	-0.060114	-0.040354	-0.028407
Chr01	22592072	22741801	-0.104435	-0.121021	-0.077498	-0.038121
Chr01	22660617	22866574	-0.086383	-0.091283	-0.067466	-0.028203
Chr01	22744592	22892400	-0.181129	-0.204959	-0.136348	-0.092070
Chr01	22866584	22893725	-0.141345	-0.125600	-0.089119	-0.071209
Chr01	22892565	22909015	-0.146576	-0.127059	-0.097166	-0.061113
Chr01	22899782	22968075	-0.121007	-0.151355	-0.101785	-0.048434
Chr01	22909016	23254461	0.039884	0.035681	0.027048	0.022340
Chr01	22968076	23344149	-0.018960	-0.014877	-0.010598	-0.023264
Chr01	23282735	23363223	-0.238872	-0.229773	-0.140172	-0.139654
Chr01	23346344	23392527	-0.142302	-0.122376	-0.092789	-0.046222
Chr01	23363232	23547087	-0.089376	-0.044962	-0.038558	-0.033210
Chr01	23392545	23550027	-0.098053	-0.051787	-0.046003	-0.067011
Chr01	23547101	23556984	-0.045051	-0.030233	-0.027395	-0.029120
Chr01	23550061	23609994	-0.079738	-0.052104	-0.044975	-0.044726
Chr01	23557237	23616814	-0.061055	-0.054550	-0.043943	-0.034672
Chr01	23610151	23631250	-0.022099	-0.037506	-0.026332	-0.013937
Chr01	23625010	23706096	-0.020255	-0.018266	-0.013843	-0.001542
Chr01	23631427	23924323	0.132041	0.063368	0.051407	0.056482
Chr01	23706264	24070563	0.057890	0.027917	0.020436	0.024436
Chr01	23924325	24113089	0.049248	0.018227	0.014453	0.021249
Chr01	24072434	24129283	0.118619	0.047497	0.041588	0.057810
Chr01	24113109	24203058	0.069209	0.045341	0.035154	0.024186
Chr01	24129285	24272406	-0.037885	-0.019244	-0.013355	-0.011702
Chr01	24203078	24298406	-0.104096	-0.064567	-0.049292	-0.037638
Chr01	24272415	24306485	-0.050478	-0.041656	-0.034837	-0.032638
Chr01	24298410	24351032	0.017875	0.012173	0.008908	0.013359
Chr01	24306492	24453697	-0.043763	-0.022335	-0.015189	-0.018247
Chr01	24351463	24542542	0.002206	0.001204	0.000977	-0.002633
Chr01	24467964	24603131	0.084562	0.036966	0.032950	0.036017
Chr01	24562217	24661863	0.076127	0.031001	0.028259	0.028651
