Chr Start End
Chr06 4045000 4049999
Chr06 5715000 5744999
Chr06 7225000 7244999
Chr06 10130000 10134999
Chr06 10155000 10409999
Chr06 10790000 11019999
Chr06 15510000 15514999
Chr06 15575000 15579999
Chr06 15580000 15959999
Chr06 21105000 21309999
Chr06 22110000 22314999
Chr06 29850000 30244999
Chr06 42100000 42104999
Chr06 42485000 42489999
Chr06 42490000 42609999
Chr06 42835000 43574999
Chr06 46340000 46599999
Chr06 47790000 47989999
Chr06 51250000 51254999
Chr06 51255000 51259999
Chr06 51260000 51264999
Chr06 51265000 51689999
Chr07 670000 709999
Chr07 710000 814999
Chr07 5375000 6334999
Chr07 10755000 10774999
Chr07 10780000 11109999
Chr07 21435000 21609999
Chr07 23640000 23719999
Chr07 25370000 25624999
Chr07 26960000 26964999
Chr07 31200000 31379999
Chr07 31495000 31554999
Chr07 31555000 31824999
Chr07 35105000 35149999
Chr07 39365000 39444999
Chr07 41740000 41744999
Chr07 45675000 45719999
Chr07 45720000 45724999
Chr07 46135000 46149999
Chr07 50675000 50699999
Chr07 51060000 51649999
Chr07 53510000 53609999
Chr08 1870000 1874999
Chr08 1875000 1879999
Chr08 1880000 2209999
Chr08 5720000 5799999
Chr08 5865000 5904999
Chr08 5905000 6099999
Chr08 6940000 6964999
Chr08 6965000 7059999
Chr08 7060000 7064999
Chr08 7505000 7509999
Chr08 7510000 7629999
Chr08 8545000 8894999
Chr08 9440000 9444999
Chr08 9485000 9489999
Chr08 9490000 9514999
Chr08 9525000 9534999
Chr08 9535000 10094999
Chr08 13775000 14249999
Chr08 15950000 16019999
Chr08 16125000 16154999
Chr08 28645000 28649999
Chr08 28660000 28664999
Chr08 29725000 29794999
Chr08 31250000 31254999
Chr08 40360000 40364999
Chr08 54685000 54949999
Chr08 55780000 55849999
Chr08 57680000 57729999
Chr08 63370000 63544999
Chr08 65515000 65544999
Chr08 65620000 65634999
Chr08 67875000 67944999
Chr09 2165000 2169999
Chr09 8785000 8799999
Chr09 9535000 10074999
Chr09 13745000 14069999
Chr09 14955000 15249999
Chr09 17085000 17504999
Chr09 17605000 17704999
Chr09 18820000 18824999
Chr09 18825000 18834999
Chr09 18835000 18839999
Chr09 18840000 18844999
Chr09 18865000 18869999
Chr09 18870000 18919999
Chr09 22500000 22504999
Chr09 25070000 25464999
Chr09 30440000 30444999
Chr09 31445000 31454999
Chr09 38125000 38139999
Chr10 1220000 1239999
Chr10 1540000 1544999
Chr10 2145000 2389999
Chr10 6415000 6674999
Chr10 7165000 7374999
Chr10 7545000 7659999
Chr10 8645000 8649999
Chr10 8990000 8994999
Chr10 9005000 9279999
Chr10 16905000 17104999
Chr10 17385000 17429999
Chr10 19080000 19084999
Chr10 19085000 19384999
Chr10 20320000 20454999
Chr10 27375000 27494999
Chr10 28660000 28759999
Chr10 28760000 28779999
Chr10 29705000 29964999
Chr10 31575000 31614999
Chr10 32010000 32199999
Chr11 1050000 1099999
Chr11 1115000 1124999
Chr11 9315000 9319999
Chr11 12210000 12214999
Chr11 13110000 13114999
Chr11 14685000 14954999
Chr11 21210000 21394999
Chr11 23880000 23884999
Chr11 34095000 34624999
Chr11 34690000 34694999
Chr11 35340000 35349999
Chr11 35695000 35794999
Chr11 35795000 36234999
