Chr Start End
Chr06 3735000 4024999
Chr06 6940000 7024999
Chr06 7245000 7279999
Chr06 9770000 9859999
Chr06 15355000 15359999
Chr06 15360000 15364999
Chr06 15365000 15369999
Chr06 15370000 15399999
Chr06 15440000 15454999
Chr06 15475000 15504999
Chr06 15535000 15539999
Chr06 16285000 16579999
Chr06 17625000 17629999
Chr06 21325000 21394999
Chr06 23120000 23124999
Chr06 23560000 23564999
Chr06 23735000 23769999
Chr06 23770000 23774999
Chr06 26025000 26149999
Chr06 27410000 27439999
Chr06 27930000 28014999
Chr06 29285000 29514999
Chr06 32435000 32439999
Chr06 42105000 42114999
Chr06 42665000 42834999
Chr06 46220000 46304999
Chr06 51970000 51979999
Chr07 11235000 11669999
Chr07 22110000 22119999
Chr07 23895000 23904999
Chr07 27800000 27939999
Chr07 28135000 28489999
Chr07 32935000 33094999
Chr07 33095000 33124999
Chr07 33415000 33429999
Chr07 33430000 33479999
Chr07 33690000 33694999
Chr07 39265000 39314999
Chr07 43340000 43509999
Chr07 46085000 46134999
Chr07 51770000 52139999
Chr07 53610000 53619999
Chr08 5400000 5719999
Chr08 9155000 9319999
Chr08 9405000 9409999
Chr08 11290000 11314999
Chr08 11770000 11789999
Chr08 14250000 14464999
Chr08 15065000 15079999
Chr08 27800000 27884999
Chr08 27995000 27999999
Chr08 28000000 28004999
Chr08 30440000 30469999
Chr08 33825000 33969999
Chr08 33975000 34109999
Chr08 34140000 34149999
Chr08 36455000 36579999
Chr08 37775000 37794999
Chr08 41465000 41479999
Chr08 41480000 41614999
Chr08 42385000 42389999
Chr08 46670000 46819999
Chr08 47190000 47244999
Chr08 60730000 61459999
Chr08 61685000 61854999
Chr08 64040000 64089999
Chr09 1915000 2009999
Chr09 2010000 2014999
Chr09 2015000 2019999
Chr09 3170000 3224999
Chr09 6945000 7064999
Chr09 8010000 8054999
Chr09 11090000 11129999
Chr09 11730000 13024999
Chr09 13180000 13184999
Chr09 13185000 13189999
Chr09 13190000 13234999
Chr09 13275000 13389999
Chr09 13485000 13489999
Chr09 14480000 14534999
Chr09 16885000 16974999
Chr09 17505000 17544999
Chr09 19645000 19824999
Chr09 30170000 30174999
Chr09 30175000 30179999
Chr09 30180000 30384999
Chr09 30570000 30879999
Chr09 31530000 31539999
Chr09 34565000 35829999
Chr10 4285000 4449999
Chr10 8530000 8564999
Chr10 8565000 8569999
Chr10 8570000 8599999
Chr10 8675000 8679999
Chr10 10665000 11169999
Chr10 12920000 12939999
Chr10 13105000 13134999
Chr10 14705000 14719999
Chr10 14735000 14754999
Chr10 14865000 14914999
Chr10 14950000 15024999
Chr10 15025000 15124999
Chr10 15125000 15129999
Chr10 15130000 15414999
Chr10 17515000 18064999
Chr10 23875000 23879999
Chr10 23880000 24109999
Chr10 24785000 24804999
Chr10 24805000 25214999
Chr10 27605000 27609999
Chr10 27845000 27989999
Chr10 31615000 31639999
Chr10 35985000 36019999
Chr11 1400000 1414999
Chr11 1450000 1464999
Chr11 8865000 8884999
Chr11 15795000 15934999
Chr11 18990000 18994999
Chr11 20115000 20554999
Chr11 24645000 25339999
Chr11 30500000 30504999
Chr11 30505000 31104999
Chr11 32480000 32484999
Chr11 34695000 34699999
Chr11 34700000 34844999
Chr11 41695000 41719999
ChrUn 43385000 43389999
ChrUn 43390000 46709999
