query	match
Eucgr.D00876.1	ANN09561
Eucgr.D00850.1	ANN09540
Eucgr.D00848.1	ANN09539
Eucgr.D01038.1	ANN09194
Eucgr.D01216.1	ANN09066
Eucgr.H02644.1	ANN09065
Eucgr.D01953.1	ANN08744
Eucgr.D01951.1	ANN08743
Eucgr.D02011.1	ANN08709
Eucgr.D02225.1	ANN08548
Eucgr.D02378.1	ANN08448
Eucgr.D02444.1	ANN08361
Eucgr.C02587.1	ANN08304
Eucgr.D02560.2	ANN08283
Eucgr.E00286.1	ANN25888
Eucgr.E00331.2	ANN25924
Eucgr.E00844.1	ANN26250
Eucgr.E01169.3	ANN26431
Eucgr.E01188.1	ANN26464
Eucgr.E02710.1	ANN24564
Eucgr.E03938.1	ANN25444
Eucgr.L03369.1	ANN25451
Eucgr.F00226.1	ANN14289
Eucgr.F00083.2	ANN14390
Eucgr.F00494.3	ANN14587
Eucgr.F00600.2	ANN14744
Eucgr.F00972.1	ANN14959
Eucgr.F01406.2	ANN15301
Eucgr.F01407.1	ANN15302
Eucgr.F01547.1	ANN15408
Eucgr.F01563.1	ANN15422
Eucgr.F01604.2	ANN15449
Eucgr.F01992.1	ANN15696
Eucgr.H02671.1	ANN15812
Eucgr.F02375.1	ANN15887
Eucgr.F02568.1	ANN16232
Eucgr.F02621.1	ANN16261
Eucgr.F02619.1	ANN16262
Eucgr.L02310.1	ANN16276
Eucgr.F02773.1	ANN16351
Eucgr.F02899.1	ANN16444
Eucgr.F03081.1	ANN16579
Eucgr.F03082.1	ANN16580
Eucgr.F03149.1	ANN16623
Eucgr.F03235.1	ANN16700
Eucgr.F03253.1	ANN16707
Eucgr.F03490.3	ANN16885
Eucgr.F03743.1	ANN17090
Eucgr.F03869.1	ANN17180
Eucgr.F03870.1	ANN17181
Eucgr.F04020.2	ANN17296
Eucgr.F04021.1	ANN17297
Eucgr.F04203.1	ANN17435
Eucgr.G01714.1	ANN03998
Eucgr.C03897.1	ANN03972
Eucgr.A01928.1	ANN03971
Eucgr.G02186.1	ANN03525
Eucgr.G02320.1	ANN03436
Eucgr.G02374.1	ANN03399
Eucgr.G02452.1	ANN03347
Eucgr.G02607.1	ANN03220
Eucgr.G03062.1	ANN02858
Eucgr.G03110.1	ANN02826
Eucgr.L03611.1	ANN02764
Eucgr.G03248.2	ANN02737
Eucgr.G03276.3	ANN02719
Eucgr.H00108.1	ANN10625
Eucgr.H00162.1	ANN10650
Eucgr.H00535.1	ANN10754
Eucgr.H00666.1	ANN10841
Eucgr.H00809.1	ANN10983
Eucgr.H00829.1	ANN11001
Eucgr.H00885.1	ANN11044
Eucgr.L02237.1	ANN11051
Eucgr.H01056.1	ANN11106
Eucgr.H01080.1	ANN11120
Eucgr.L02246.1	ANN11136
Eucgr.G00341.1	ANN11205
Eucgr.H03307.1	ANN11451
Eucgr.H02264.1	ANN11730
Eucgr.H02385.1	ANN11887
Eucgr.H02544.1	ANN12014
Eucgr.H02915.1	ANN12382
Eucgr.H02997.1	ANN12443
Eucgr.H03059.2	ANN12483
Eucgr.H04315.1	ANN13315
Eucgr.H04380.1	ANN13344
Eucgr.H03294.1	ANN13541
Eucgr.H04666.1	ANN13697
Eucgr.H04823.1	ANN13829
Eucgr.I00258.1	ANN32738
Eucgr.I00319.1	ANN32680
Eucgr.I00570.2	ANN32471
Eucgr.I00658.1	ANN32339
Eucgr.I01458.1	ANN31657
Eucgr.C03754.1	ANN31548
Eucgr.I01783.1	ANN31383
Eucgr.I01995.1	ANN31213
Eucgr.I02088.1	ANN31143
Eucgr.I02156.1	ANN31060
Eucgr.I02328.1	ANN30915
Eucgr.I02333.1	ANN30910
Eucgr.I02334.2	ANN30909
Eucgr.I02337.2	ANN30906
Eucgr.I02338.1	ANN30904
Eucgr.I02340.3	ANN30901
Eucgr.I02354.3	ANN30887
Eucgr.I02387.1	ANN30857
Eucgr.I02385.1	ANN30856
Eucgr.I02678.1	ANN30533
Eucgr.I02697.2	ANN30516
Eucgr.J00157.1	ANN02479
Eucgr.J00233.1	ANN02418
Eucgr.J00478.1	ANN02231
Eucgr.J00666.2	ANN02076
Eucgr.J00742.1	ANN02025
Eucgr.J00763.1	ANN02010
Eucgr.J00884.1	ANN01922
Eucgr.J00905.2	ANN01907
Eucgr.J01042.1	ANN01799
Eucgr.J01194.1	ANN01678
Eucgr.J01593.1	ANN01404
Eucgr.B00966.1	ANN01324
Eucgr.J01814.1	ANN01213
Eucgr.J01860.1	ANN01179
Eucgr.J01867.1	ANN01159
Eucgr.L03214.1	ANN01072
Eucgr.J01995.1	ANN01029
Eucgr.J02158.1	ANN00883
Eucgr.J02232.1	ANN00827
Eucgr.J02265.1	ANN00805
Eucgr.J02434.1	ANN00789
Eucgr.J02304.1	ANN00770
Eucgr.J02241.1	ANN00730
Eucgr.J02352.1	ANN00727
Eucgr.J02397.1	ANN00683
Eucgr.J02428.3	ANN00614
Eucgr.J02480.1	ANN00569
Eucgr.J02481.1	ANN00567
Eucgr.J02600.1	ANN00465
Eucgr.J02846.1	ANN00366
Eucgr.J02848.1	ANN00364
Eucgr.J02852.1	ANN00361
Eucgr.J02952.1	ANN00270
Eucgr.J02988.1	ANN00238
Eucgr.J03148.1	ANN00103
Eucgr.H04708.1	ANN27823
Eucgr.K00291.1	ANN27803
Eucgr.K00371.1	ANN27738
Eucgr.K01291.1	ANN29846
Eucgr.K01292.4	ANN29845
Eucgr.K01293.1	ANN29844
Eucgr.K01294.2	ANN29843
Eucgr.K01348.1	ANN29801
Eucgr.K01349.1	ANN29799
Eucgr.K01350.1	ANN29798
Eucgr.K01436.1	ANN29718
Eucgr.K01917.2	ANN29287
Eucgr.K02561.1	ANN29227
Eucgr.K02120.1	ANN29139
Eucgr.K02166.2	ANN29106
Eucgr.K02336.1	ANN28960
Eucgr.K02337.3	ANN28959
Eucgr.K02446.1	ANN28887
Eucgr.K02450.4	ANN28883
Eucgr.K02654.1	ANN28791
Eucgr.K02815.1	ANN28667
Eucgr.L03388.1	ANN28608
Eucgr.K03043.1	ANN28490
Eucgr.K03050.1	ANN28473
Eucgr.K03105.1	ANN28431
Eucgr.K03486.1	ANN28098
Eucgr.K03540.1	ANN28050
